Pipsqueak | Vardesh | facts=12 | career=5 | sections=5
Veyri | Vardesh | facts=12 | career=4 | sections=5
Miska | Vardesh | facts=12 | career=3 | sections=5
Bijou | Lumerre | facts=12 | career=4 | sections=5
Mimi | Lumerre | facts=12 | career=3 | sections=5
Loulou | Lumerre | facts=12 | career=3 | sections=5
Brakka | Kordesh | facts=12 | career=4 | sections=5
Kovo | Kordesh | facts=12 | career=3 | sections=5
Daska | Kordesh | facts=12 | career=3 | sections=5
Mad Rager | Nambara | facts=12 | career=4 | sections=5
Zuzu | Nambara | facts=12 | career=4 | sections=5
Kemba | Nambara | facts=12 | career=3 | sections=5
ROCKY | Norveth | facts=12 | career=4 | sections=5
Frey | Norveth | facts=12 | career=3 | sections=5
Noki | Norveth | facts=11 | career=3 | sections=5
Zizi | Zafran | facts=12 | career=3 | sections=5
Rafi | Zafran | facts=11 | career=3 | sections=5
Saffi | Zafran | facts=12 | career=3 | sections=5
Fenn | Elvane | facts=12 | career=3 | sections=5
Elvi | Elvane | facts=11 | career=3 | sections=5
Mori | Elvane | facts=12 | career=3 | sections=5
Qimi | Qasmir | facts=12 | career=4 | sections=5
Nuri | Qasmir | facts=11 | career=3 | sections=5
Zara | Qasmir | facts=12 | career=3 | sections=5
Luca | Calvora | facts=12 | career=4 | sections=5
Pico | Calvora | facts=12 | career=3 | sections=5
Vivi | Calvora | facts=12 | career=3 | sections=5
Volki | Rovarn | facts=12 | career=4 | sections=5
Varko | Rovarn | facts=12 | career=3 | sections=5
Rovo | Rovarn | facts=12 | career=3 | sections=5
Soup | Talune | facts=12 | career=5 | sections=5
Tuli | Talune | facts=12 | career=4 | sections=5
Lumi | Talune | facts=12 | career=3 | sections=5
Dopey Dom | Drazhen | facts=12 | career=6 | sections=5
Zippy | Drazhen | facts=12 | career=3 | sections=5
Drazzi | Drazhen | facts=12 | career=3 | sections=5
JUD | Belros | facts=12 | career=6 | sections=5
Nimbler 2000 | Belros | facts=12 | career=4 | sections=5
Bramble | Belros | facts=12 | career=4 | sections=5
Maro | Marovar | facts=12 | career=3 | sections=5
Navi | Marovar | facts=12 | career=3 | sections=5
Rumi | Marovar | facts=13 | career=3 | sections=5
Debbie | Sorevia | facts=12 | career=5 | sections=5
Jenny | Sorevia | facts=12 | career=4 | sections=5
Rosie | Sorevia | facts=12 | career=3 | sections=5
Besquelcher | Iskandar | facts=12 | career=7 | sections=5
Kassi | Iskandar | facts=12 | career=4 | sections=5
Arko | Iskandar | facts=12 | career=3 | sections=5
